"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"1b5863bcee90d429501c558bcf0ff6bd92f982752d7008658a40fbd47359f711d71a60bd477b91b9478bd057d27a5504502050ec45c8095cf64041371e3a0bb1",,"2026-03-17T00:06:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"$501 - $1,500","2026-03-17T00:06:00.000","IMPROPER BACKING","PHYSICAL CONDITION OF DRIVER","4001","W","LAWRENCE AVE","1722",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","0","3","3","41.9681317848","-87.728086756","POINT (-87.72808675596 41.968131784848)"
"2d9465bce38e8584714b5170da646aa27b4f40c4979681a07bc4bde9f1289122f8bf19a7df01100713d2d341aebd536d1da045e885775c8aaa7630c3fc873d8f",,"2026-03-16T23:55:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2026-03-17T00:30:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","9459","S","ASHLAND AVE","2221",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","23","2","3","41.7213088303","-87.6625400064","POINT (-87.662540006354 41.721308830281)"
"6b67630799f6b2ef169af634bb37c2d137f4b576dbb45619e0008b001ee1e8d920250700108bc29bb26d3046c0ed566abd6f57b55acfe26ea08f45e4d62dadbc",,"2026-03-16T23:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2026-03-16T23:40:00.000","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","UNABLE TO DETERMINE","216","W","101ST ST","511",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","2","3","41.7108506467","-87.6291328948","POINT (-87.629132894825 41.710850646704)"
"424d96edd567862a2f9f09a9308a8d7be654097a6cc84d98143c53af32f502bd1ac30b05a20397744f23fe0d20d7d51be2403db2d91b1f6a80fa3aaa0115fa63",,"2026-03-16T22:20:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2026-03-16T23:20:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1321","W","AUGUSTA BLVD","1213",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","2","3","41.8997102447","-87.6610079177","POINT (-87.661007917743 41.899710244727)"
"751b60f7ba731cad4335eedc105f31a22b7f2f6abd22aa410820427817758ecdd6b3e9fb025e8804d64ea7d70dd2e85172502ba983ce27e158a1178853088176",,"2026-03-16T22:12:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-03-16T22:28:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","2221","W","TOUHY AVE","2411",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","22","2","3","42.0121370154","-87.6869940236","POINT (-87.686994023634 42.012137015386)"
"69a180c4da119975f6fc44e8c6691621d6660cf17eaf54435fdc038f0f3ee94273efc77cea94273b7e75a0cb075e3e02550f17babe1e84ccc3959937949afc3e",,"2026-03-16T21:31:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","PEDESTRIAN","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","N",,,"OVER $1,500","2026-03-16T21:31:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1960","W","MADISON ST","1223",,"Y",,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","2","0","21","2","3","41.8814246017","-87.6765845868","POINT (-87.676584586792 41.88142460173)"
"65f5f52be76762a193584a0c65f3689d708aaf5e65ee75a9d60e60d997d797d82d93532da346449b20a36bd100c4e7f38ab49cf8a779eb8c490d726c4f99d6fc",,"2026-03-16T20:54:00.000","30","NO CONTROLS","NO CONTROLS","SLEET/HAIL","DARKNESS","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-03-16T20:55:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","4599","W","ROSCOE ST","1731",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","2","3","41.9424307946","-87.7422289238","POINT (-87.742228923809 41.942430794559)"
"80929110b6121fcf112b443870441bc10df2470a3a0d4babdb3c94bd0799c300ca2e5ee75bf7543bdb68bf387d0910691af9ca49f9e3d422f6bbb461f41ef7e5",,"2026-03-16T20:50:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$500 OR LESS","2026-03-16T21:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4003","N","KEDZIE AVE","1724",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","20","2","3","41.9540696954","-87.7078727681","POINT (-87.707872768056 41.954069695445)"
"79ed0a5fabe30cdd2efc27c22e9e501d1e45a4ad3f2c615bdda1572e641ae0eb1572bd698a3320443fee5474f57ced71202a20dc519e241b5f5f6e8e79685961",,"2026-03-16T20:30:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2026-03-16T21:34:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","8456","S","ADA ST","613",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","2","3","41.7396661237","-87.657237217","POINT (-87.657237216951 41.73966612367)"
"f1e4a73ebda1a07cad90bcab7be6dae7c73a58987e47939be11bf0522ce9d7b06db5bfc27fd441f0c3d07d9f520827811481cb36543158509e62c1db0a3a66da",,"2026-03-16T20:28:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2026-03-16T21:10:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","530","N","RACINE AVE","1214",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","2","3","41.8920767952","-87.6575563559","POINT (-87.657556355927 41.892076795218)"
